Designator,Mid X,Mid Y,Rotation,Layer
D1,101.6,-75.40625,270.0,bottom
D10,120.65,-113.50625,270.0,bottom
D11,139.7,-113.50625,270.0,bottom
D12,158.75,-113.50625,270.0,bottom
D13,101.6,-132.55625,270.0,bottom
D14,120.65,-132.55625,270.0,bottom
D15,139.7,-132.55625,270.0,bottom
D16,158.75,-132.55625,270.0,bottom
D2,120.65,-75.40625,270.0,bottom
D3,139.7,-75.40625,270.0,bottom
D4,158.75,-75.40625,270.0,bottom
D5,101.6,-94.45625,270.0,bottom
D6,120.65,-94.45625,270.0,bottom
D7,139.7,-94.45625,270.0,bottom
D8,158.75,-94.45625,270.0,bottom
D9,101.6,-113.50625,270.0,bottom
MX1,106.3625,-79.375,180.0,bottom
MX10,125.4125,-117.475,180.0,bottom
MX11,144.4625,-117.475,180.0,bottom
MX12,163.5125,-117.475,180.0,bottom
MX13,106.3625,-136.525,180.0,bottom
MX14,125.4125,-136.525,180.0,bottom
MX15,144.4625,-136.525,180.0,bottom
MX16,163.5125,-136.525,180.0,bottom
MX2,125.4125,-79.375,180.0,bottom
MX3,144.4625,-79.375,180.0,bottom
MX4,163.5125,-79.375,180.0,bottom
MX5,106.3625,-98.425,180.0,bottom
MX6,125.4125,-98.425,180.0,bottom
MX7,144.4625,-98.425,180.0,bottom
MX8,163.5125,-98.425,180.0,bottom
MX9,106.3625,-117.475,180.0,bottom
R1,84.75,-127.0,180.0,top
RESET,79.75,-132.75,180.0,top
U1,79.41875,-95.1775,0.0,top
